Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Pash S,2,first_return,Forehand,Topspin,50.070602,15,3,1,deep,deuce,near,1.180637,4.219818,deep,deuce,far,-3.230535,23.854158,1.097924,cross court,In,false,18:51:45,628.890015
Opponent,3,serve_plus_one,Forehand,Topspin,46.802139,15,3,1,short,ad,far,2.359812,14.8675,out,deuce,near,1.599905,-0.884488,1.110563,down the line,In,false,18:51:47,630.419983
Pash S,4,return_plus_one,Backhand,Slice,34.923103,15,3,1,out,deuce,near,2.185334,-1.17303,deep,ad,far,2.495055,22.885168,0.960225,down the line,Out,false,18:51:48,631.630005
Opponent,1,first_serve,Serve,Flat,51.338093,16,3,1,short,ad,far,1.393089,16.166277,out,ad,near,-2.053569,-0.620433,2.39941,down the T,In,false,18:52:04,647.909973
Pash S,2,first_return,Forehand,Topspin,51.97961,16,3,1,deep,ad,near,-2.696139,0.014843,out,ad,far,2.27216,25.043697,0.720271,inside out,In,false,18:52:06,649.380005
Opponent,1,first_serve,Serve,Flat,49.855988,17,3,1,short,deuce,far,-1.215252,13.763347,out,deuce,near,0.440357,-0.59959,2.607232,down the T,In,false,18:52:23,666.390015
Pash S,2,first_return,Backhand,Topspin,34.983292,17,3,1,deep,ad,near,-0.834995,3.752547,deep,deuce,far,-1.378053,24.301069,0.681163,inside in,In,false,18:52:24,667.940002
Opponent,3,serve_plus_one,Backhand,Topspin,48.503227,17,3,1,deep,ad,far,4.084599,20.606972,deep,ad,near,-0.546887,-0.276336,1.067236,cross court,In,false,18:52:26,670.130005
Pash S,4,return_plus_one,Backhand,Topspin,32.431408,17,3,1,short,deuce_alley,far,-4.225153,17.279819,deep,ad,far,3.568711,23.228941,0.748095,down the line,Net,false,18:52:28,671.460022
Pash S,4,none,Feed,Topspin,24.248772,17,3,1,short,ad,near,-3.629052,5.756002,deep,deuce,far,-1.758445,24.337223,0.924642,---,In,false,18:52:33,676.669983
Opponent,1,first_serve,Serve,Flat,51.453045,18,3,1,short,ad,far,1.856401,13.17514,out,ad,near,-2.928581,-0.603167,2.382262,out wide,In,false,18:52:43,686.880005
