Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Opponent,3,serve_plus_one,Backhand,Topspin,35.812431,178,0,0,service_box,ad,far,3.0626,18.171671,out,ad,near,-1.493617,-1.123759,1.01146,cross court,In,false,20:16:02,
Pash Sunuwar,4,return_plus_one,Backhand,Topspin,49.209946,178,0,0,no_mans_land,ad,near,-1.646931,0.576569,no_mans_land,ad,far,3.567848,24.184526,1.222764,cross court,In,false,20:16:04,
Opponent,5,in_play,Backhand,Topspin,36.878971,178,0,0,no_mans_land,ad,far,1.785093,20.541737,out,ad,near,-1.75947,-1.691196,0.621994,cross court,In,false,20:16:05,
Pash Sunuwar,6,in_play,Forehand,Topspin,45.418621,178,0,0,service_box,deuce,far,-0.600097,16.779741,out,ad,far,2.102524,26.187984,1.181628,inside in,Net,false,20:16:07,
Opponent,1,first_serve,Serve,Flat,84.033852,181,0,0,service_box,deuce,near,1.608656,11.808327,out,ad,near,-1.104609,-0.711776,2.595259,out wide,Net,false,20:16:30,
Opponent,1,second_serve,Serve,Flat,41.066746,182,0,0,service_box,deuce,far,-0.194873,12.253341,out,ad,near,-0.962863,-0.720861,2.396033,down the T,Out,false,20:16:43,
Pash Sunuwar,2,return,Forehand,Flat,57.955982,182,0,0,no_mans_land,ad,near,-2.394796,2.567452,no_mans_land,ad,far,3.46337,23.029139,0.937934,inside out,In,false,20:16:45,
Opponent,3,serve_plus_one,Backhand,Topspin,47.548779,182,0,0,no_mans_land,ad,far,0.48828,20.163858,out,ad,near,-2.51127,-1.492026,1.045549,cross court,In,false,20:16:46,
Pash Sunuwar,4,return_plus_one,Forehand,Topspin,36.885235,182,0,0,no_mans_land,deuce_alley,near,4.581848,2.026542,out,ad,far,1.359789,25.215467,1.085197,inside in,Out,false,20:16:47,
Opponent,1,first_serve,Serve,Slice,72.687103,183,0,0,no_mans_land,deuce,far,-2.611108,20.767187,no_mans_land,deuce,near,0.227857,-0.292318,2.545686,down the T,Out,false,20:17:03,
Pash Sunuwar,2,return,Forehand,Flat,43.381668,183,0,0,no_mans_land,ad,near,-3.227313,0.771677,out,deuce,far,-4.104339,26.161837,0.872042,down the line,In,false,20:17:04,
Opponent,1,first_serve,Serve,Slice,61.26498,184,0,0,service_box,deuce,near,1.314746,10.547582,out,ad,near,-1.577934,-0.814407,2.450561,down the T,Net,false,20:17:17,
Opponent,1,second_serve,Serve,Slice,42.612602,185,0,0,service_box,ad,far,1.497684,15.851641,no_mans_land,ad,near,-1.277881,-0.421792,2.376143,down the T,In,false,20:17:22,
Pash Sunuwar,2,return,Forehand,Flat,39.881252,185,0,0,no_mans_land,deuce_alley,near,4.151671,3.378146,no_mans_land,ad,far,1.75721,24.403845,0.755001,inside in,Out,false,20:17:24,
Opponent,3,serve_plus_one,Forehand,Topspin,25.70389,185,0,0,service_box,ad,near,-0.040142,6.622313,no_mans_land,deuce_alley,near,4.937552,0.866293,1.732229,down the line,Net,false,20:17:26,
Pash Sunuwar,1,first_serve,Serve,Slice,58.345692,188,0,0,service_box,deuce,near,1.467929,7.498061,no_mans_land,deuce,far,-1.137658,22.772131,2.78498,down the T,In,false,20:18:01,
Opponent,2,return,Forehand,Topspin,38.81879,188,0,0,out,deuce,far,-1.546166,23.929573,no_mans_land,deuce,near,3.388183,0.544905,0.656686,cross court,Out,false,20:18:02,
Pash Sunuwar,1,first_serve,Serve,Slice,48.209183,189,0,0,service_box,ad,far,1.269229,18.040007,service_box,deuce,far,-0.149981,22.71806,2.390144,out wide,Net,false,20:18:10,
Pash Sunuwar,1,second_serve,Serve,Slice,45.430271,190,0,0,service_box,deuce,near,1.902719,5.731755,no_mans_land,deuce,far,-1.053544,23.526793,2.601295,down the T,In,false,20:18:16,
Opponent,2,return,Forehand,Topspin,49.430325,190,0,0,no_mans_land,deuce,far,-1.540492,20.099066,no_mans_land,deuce,near,2.933353,0.455303,1.122757,cross court,In,false,20:18:18,
Pash Sunuwar,3,serve_plus_one,Forehand,Flat,48.333408,190,0,0,no_mans_land,deuce,near,0.901972,3.119488,no_mans_land,deuce,far,-1.674499,21.95759,0.894532,cross court,In,false,20:18:20,
Opponent,4,return_plus_one,Forehand,Topspin,52.208015,190,0,0,no_mans_land,deuce,far,-1.870523,21.473919,no_mans_land,deuce,near,1.567065,0.145302,0.589541,cross court,In,false,20:18:22,
Pash Sunuwar,5,in_play,Forehand,Flat,46.033199,190,0,0,no_mans_land,deuce,near,0.235193,3.513461,out,deuce,far,-1.667446,25.181097,0.536438,cross court,In,false,20:18:24,
Opponent,6,in_play,Forehand,Topspin,36.143517,190,0,0,service_box,deuce,far,-0.148556,17.161175,out,deuce,near,0.006094,-1.622113,0.770348,cross court,In,false,20:18:26,
Pash Sunuwar,7,in_play,Forehand,Topspin,39.85743,190,0,0,no_mans_land,ad,near,-1.999087,0.946119,no_mans_land,deuce,far,-0.930812,24.162069,0.748612,down the line,In,false,20:18:28,
Opponent,8,in_play,Backhand,Topspin,29.604235,190,0,0,service_box,deuce,far,-0.626855,16.774672,no_mans_land,ad,near,-2.087047,-0.388632,0.623154,down the line,In,false,20:18:29,
Pash Sunuwar,9,in_play,Forehand,Topspin,34.807217,190,0,0,service_box,deuce,near,1.059352,6.037835,no_mans_land,ad,far,0.126761,19.867237,0.645527,inside in,In,false,20:18:32,
Opponent,10,in_play,Forehand,Flat,22.152985,190,0,0,service_box,ad,far,0.060834,12.477216,no_mans_land,deuce,near,1.157902,4.294812,0.762207,down the line,In,false,20:18:34,
Pash Sunuwar,11,in_play,Backhand,Flat,32.11713,190,0,0,out,ad,near,-1.375834,-0.492632,no_mans_land,deuce,far,-0.070458,20.303732,0.947236,inside in,Out,false,20:18:37,
Pash Sunuwar,0,none,Overhead,Flat,17.320551,193,0,0,service_box,ad,near,-1.325422,7.44381,no_mans_land,ad,far,0.198414,19.576765,2.422836,cross court,In,false,20:18:56,
Opponent,1,none,Forehand,Topspin,43.928055,193,0,0,service_box,deuce,far,-1.53589,18.077669,out,ad,near,-1.363642,-1.044615,0.695512,inside in,In,false,20:18:58,
Pash Sunuwar,2,none,Forehand,Flat,48.325199,193,0,0,service_box,deuce,near,0.421112,6.239552,out,deuce,far,-1.352165,25.168657,0.912606,cross court,In,false,20:18:59,
